Opportunity_ID,Created_Date,Region,Segment,Opportunity_Type,Deal_Stage,Salesperson,Closed_Lost_Reason,Sales_Cycle_Days,Closed_Date,Deal_Size (£),Closed_Month
1,2024-09-23 19:34:52.646653976,North America,Commercial,Renewal,Closed Lost,NA7,Budget Constraints,49,2024-12-31 00:00:00.000000000,63100.67151253767,2024-12
2,2024-02-06 23:06:12.711213930,APAC,Commercial,New Customer,Qualified,APAC4,,48,2024-04-26 23:06:12.711213930,49601.53317249722,2024-04
3,2024-02-13 10:50:01.395251396,EMEA,Strategic,New Customer,Proposal,EMEA4,,96,2024-07-16 10:50:01.395251396,318938.73151357257,2024-07
4,2024-01-21 05:10:31.002933470,EMEA,Commercial,Renewal,Closed Won,EMEA7,,48,2024-03-29 05:10:31.002933470,66704.93345991001,2024-03
5,2024-12-03 05:52:10.044474272,North America,Commercial,Renewal,Closed Lost,NA9,Budget Constraints,51,2024-12-31 00:00:00.000000000,75090.53421305233,2024-12
6,2024-07-04 19:04:52.848917030,North America,Strategic,Renewal,Proposal,NA4,,82,2024-07-23 19:04:52.848917030,336150.00697326014,2024-07
7,2024-06-24 21:17:34.696377520,North America,Commercial,Renewal,Negotiation,NA4,,39,2024-10-13 21:17:34.696377520,84240.54504718633,2024-10
8,2024-12-30 08:21:25.232739552,APAC,Strategic,Renewal,Qualified,APAC1,,93,2024-12-31 00:00:00.000000000,327461.7578512771,2024-12
9,2024-04-06 21:21:49.227496449,EMEA,SMB,New Customer,Qualified,EMEA3,,23,2024-08-17 21:21:49.227496449,9695.761241203674,2024-08
10,2024-11-05 01:23:25.893686128,EMEA,Enterprise,Renewal,Proposal,EMEA9,,47,2024-12-11 01:23:25.893686128,147673.61523028056,2024-12
11,2024-04-07 07:43:52.516175909,North America,SMB,Renewal,Proposal,NA6,,27,2024-05-27 07:43:52.516175909,15586.029329694256,2024-05
12,2024-05-12 19:28:50.517285632,APAC,SMB,Renewal,Negotiation,APAC5,,25,2024-07-18 19:28:50.517285632,15017.754936552748,2024-07
13,2024-04-01 19:55:02.174106202,EMEA,Strategic,New Customer,Closed Lost,EMEA3,No Decision,90,2024-09-09 19:55:02.174106202,283884.8982913279,2024-09
14,2024-08-19 07:31:06.258824536,North America,SMB,Renewal,Closed Won,NA5,,25,2024-11-08 07:31:06.258824536,11976.229523910257,2024-11
15,2024-12-27 17:05:40.841246380,North America,Enterprise,New Customer,Discovery,NA1,,58,2024-12-31 00:00:00.000000000,170670.1547844372,2024-12
16,2024-07-15 10:38:17.435394580,North America,Commercial,Renewal,Closed Lost,NA3,Competitor,51,2024-09-19 10:38:17.435394580,49979.56188936187,2024-09
17,2024-06-15 21:46:30.370278924,North America,Commercial,New Customer,Closed Won,NA4,,37,2024-08-12 21:46:30.370278924,41195.025940686144,2024-08
18,2024-11-05 04:16:39.017332672,EMEA,Strategic,New Customer,Qualified,EMEA5,,74,2024-12-31 00:00:00.000000000,305659.895860043,2024-12
19,2024-07-22 11:24:14.584419852,EMEA,SMB,Renewal,Closed Lost,EMEA10,Competitor,23,2024-12-27 11:24:14.584419852,10116.62859671261,2024-12
20,2024-02-29 20:42:25.710515948,North America,Enterprise,Renewal,Proposal,NA9,,62,2024-05-01 20:42:25.710515948,140338.2883944219,2024-05
21,2024-04-11 20:51:11.671100300,EMEA,Strategic,Renewal,Negotiation,EMEA4,,108,2024-05-09 20:51:11.671100300,345726.6330041443,2024-05
22,2024-07-12 10:30:52.674793516,North America,Enterprise,Renewal,Closed Won,NA3,,68,2024-08-25 10:30:52.674793516,182073.6642685602,2024-08
23,2024-06-14 19:58:17.789491364,North America,Strategic,New Customer,Negotiation,NA10,,95,2024-09-28 19:58:17.789491364,313396.9334647012,2024-09
24,2024-10-08 08:16:08.429447056,North America,SMB,New Customer,Closed Won,NA1,,24,2024-02-09 00:00:00.000000000,7323.578720424246,2024-12
25,2024-11-23 09:11:58.164541988,EMEA,Commercial,New Customer,Closed Lost,EMEA10,No Budget,38,2024-12-31 00:00:00.000000000,56012.3185422024,2024-12
26,2024-02-06 20:52:39.839715052,EMEA,Commercial,New Customer,Qualified,EMEA6,,47,2024-03-11 20:52:39.839715052,66947.40832774075,2024-03
27,2024-03-17 08:11:59.621687483,North America,Enterprise,Renewal,Discovery,NA7,,80,2024-07-19 08:11:59.621687483,156598.90053077575,2024-07
28,2024-07-15 00:48:10.170004116,EMEA,Strategic,Renewal,Negotiation,EMEA10,,87,2024-09-07 00:48:10.170004116,296250.85548467224,2024-09
29,2024-12-25 21:41:48.739165032,EMEA,Commercial,New Customer,Negotiation,EMEA8,,42,2024-12-31 00:00:00.000000000,58359.70643599099,2024-12
30,2024-12-08 21:20:54.095764196,North America,Enterprise,Renewal,Discovery,NA1,,57,2024-12-31 00:00:00.000000000,183376.72070216128,2024-12
31,2024-02-04 01:35:43.800629953,EMEA,SMB,New Customer,Negotiation,EMEA4,,25,2024-05-30 01:35:43.800629953,7500.172835569962,2024-05
32,2024-05-17 04:04:41.831535834,North America,Enterprise,Renewal,Closed Lost,NA5,Poor Customer Support,61,2024-08-07 04:04:41.831535834,208850.22844716377,2024-08
33,2024-02-20 19:00:10.157533573,North America,Enterprise,Renewal,Closed Won,NA2,,69,2024-03-28 19:00:10.157533573,143771.82356907972,2024-03
34,2024-03-01 23:15:57.728484019,APAC,Strategic,Expansion,Closed Won,APAC1,,89,2024-04-20 23:15:57.728484019,314430.431983822,2024-04
35,2024-06-08 07:38:40.793337330,APAC,Enterprise,Renewal,Discovery,APAC5,,57,2024-11-03 07:38:40.793337330,204531.77580506125,2024-11
36,2024-08-22 14:24:11.609318764,EMEA,Commercial,Expansion,Qualified,EMEA9,,46,2024-12-13 14:24:11.609318764,61671.45407490522,2024-12
37,2024-07-27 11:53:18.412076906,North America,SMB,Expansion,Closed Lost,NA2,Competitor,24,2024-08-18 11:53:18.412076906,15240.228585399856,2024-08
38,2024-04-26 20:55:42.453996206,North America,SMB,New Customer,Closed Lost,NA10,Competitor,27,2024-09-06 20:55:42.453996206,16384.197401114234,2024-09
39,2024-03-11 19:01:28.822218086,EMEA,Commercial,New Customer,Negotiation,EMEA8,,49,2024-05-23 19:01:28.822218086,40537.6528645642,2024-05
40,2024-12-12 05:32:31.597980324,EMEA,Commercial,Renewal,Closed Lost,EMEA10,Budget Constraints,39,2024-12-31 00:00:00.000000000,72027.25207177152,2024-12
41,2024-08-26 00:18:14.971321992,North America,Strategic,New Customer,Discovery,NA9,,82,2024-12-31 00:00:00.000000000,358137.1713546203,2024-12
42,2024-12-12 22:28:34.688210832,EMEA,Enterprise,Renewal,Discovery,EMEA1,,65,2024-12-31 00:00:00.000000000,165604.8613043304,2024-12
43,2024-11-11 12:10:56.689270000,North America,Enterprise,Renewal,Closed Lost,NA7,,61,2024-12-31 00:00:00.000000000,167594.6493362444,2024-12
44,2024-05-04 02:40:11.688617984,APAC,SMB,New Customer,Negotiation,APAC3,,25,2024-07-20 02:40:11.688617984,7717.390461363217,2024-07
45,2024-09-05 07:15:12.220285020,North America,Strategic,Renewal,Proposal,NA4,,88,2024-11-01 07:15:12.220285020,344526.98629374336,2024-11
46,2024-10-30 11:09:39.536183836,EMEA,Enterprise,Renewal,Discovery,EMEA3,,64,2024-12-31 00:00:00.000000000,111628.292116214,2024-12
47,2024-01-25 15:29:00.527480632,North America,SMB,Renewal,Negotiation,NA7,,24,2024-05-23 15:29:00.527480632,14922.019535158415,2024-05
48,2024-06-13 01:52:04.071763918,EMEA,Enterprise,Renewal,Qualified,EMEA9,,65,2024-07-28 01:52:04.071763918,139558.2649658575,2024-07
49,2024-05-27 12:54:48.594721562,EMEA,Enterprise,New Customer,Closed Won,EMEA3,,67,2024-08-03 12:54:48.594721562,209767.21753988607,2024-08
50,2024-11-16 21:04:15.070530548,North America,SMB,Renewal,Closed Lost,NA6,Competitor,27,2024-12-31 00:00:00.000000000,13490.683587560856,2024-12
51,2024-05-25 19:59:31.269225590,APAC,Enterprise,Expansion,Qualified,APAC2,,54,2024-08-02 19:59:31.269225590,200224.19244039227,2024-08
52,2024-10-12 22:38:32.934814976,EMEA,Enterprise,New Customer,Discovery,EMEA7,,59,2024-12-31 00:00:00.000000000,154680.575729237,2024-12
53,2024-11-19 21:45:56.088907044,APAC,SMB,New Customer,Discovery,APAC2,,22,2024-12-21 21:45:56.088907044,9166.366012018134,2024-12
54,2024-04-03 10:55:18.437544671,APAC,Strategic,Renewal,Qualified,APAC2,,108,2024-04-26 10:55:18.437544671,280909.4459044177,2024-04
55,2024-04-12 13:10:22.488588276,EMEA,Strategic,New Customer,Discovery,EMEA2,,70,2024-08-06 13:10:22.488588276,352280.07530564687,2024-08
56,2024-08-20 18:11:24.395952808,APAC,Enterprise,Renewal,Negotiation,APAC3,,76,2024-12-31 00:00:00.000000000,191573.501726597,2024-12
57,2024-11-23 08:45:45.643223828,North America,Enterprise,New Customer,Discovery,NA1,,60,2024-12-31 00:00:00.000000000,192460.3261518568,2024-12
58,2024-03-20 18:16:03.977499429,North America,Commercial,Renewal,Closed Won,NA1,,47,2024-06-15 18:16:03.977499429,63885.89828105121,2024-06
59,2024-01-28 04:20:19.722256435,North America,Enterprise,New Customer,Negotiation,NA7,,58,2024-06-15 04:20:19.722256435,188596.78956470985,2024-06
60,2024-06-27 20:20:08.572795464,North America,Enterprise,Expansion,Proposal,NA5,,60,2024-10-13 20:20:08.572795464,167708.3737858301,2024-10
61,2024-06-01 06:47:47.569979602,North America,SMB,Renewal,Discovery,NA3,,25,2024-08-20 06:47:47.569979602,13425.751584611073,2024-08
62,2024-09-24 18:19:21.748229960,North America,Enterprise,Renewal,Discovery,NA1,,43,2024-10-24 18:19:21.748229960,153579.07651200524,2024-10
63,2024-05-04 09:34:39.428231274,EMEA,Strategic,New Customer,Closed Won,EMEA10,,83,2024-06-21 09:34:39.428231274,316431.6725281828,2024-06
64,2024-10-21 09:52:13.447847876,North America,Enterprise,Renewal,Closed Won,NA6,,51,2024-01-30 00:00:00.000000000,250000.0,2024-12
65,2024-08-12 15:46:54.750938592,North America,SMB,New Customer,Closed Lost,NA1,Competitor,25,2024-12-15 15:46:54.750938592,12597.303367331584,2024-12
66,2024-05-26 21:07:01.137394236,EMEA,Strategic,Renewal,Qualified,EMEA9,,90,2024-11-16 21:07:01.137394236,275709.47842859593,2024-11
67,2024-06-24 21:29:53.113205130,North America,Commercial,Renewal,Qualified,NA2,,48,2024-09-28 21:29:53.113205130,54552.133258614,2024-09
68,2024-01-01 08:35:03.713238546,EMEA,Commercial,Expansion,Qualified,EMEA1,,45,2024-01-10 08:35:03.713238546,45899.70158808708,2024-01
