Lead_ID,Lead_Source,Lead_Creation_Date,Region,Segment,Lead_Status,Campaign_Type,Converted_to_Opportunity,Time_to_Conversion (days)
1,Outbound,2024-02-20,EMEA,Enterprise,Working,,No,
2,Marketing Campaign,2024-03-11,EMEA,Commercial,Converted,Webinars,Yes,22.0
3,Partner,2024-02-17,NA,Enterprise,Working,,No,
4,Outbound,2024-01-19,EMEA,Commercial,Working,,No,
5,Inbound,2024-09-18,APAC,Commercial,Rejected,,No,
6,Inbound,2024-03-24,NA,Enterprise,Working,,No,
7,Inbound,2024-06-03,EMEA,Enterprise,Working,,No,
8,Marketing Campaign,2024-02-22,NA,SMB,New,Sponsored Content,No,
9,Partner,2024-04-16,NA,Commercial,Working,,No,
10,Partner,2024-12-22,APAC,SMB,Working,,No,
11,Inbound,2024-10-30,EMEA,SMB,New,,No,
12,Marketing Campaign,2024-05-14,EMEA,Enterprise,Rejected,Paid Search (PPC/Google Ads),No,
13,Marketing Campaign,2024-03-09,APAC,SMB,Converted,Trade Shows/Exhibitions,Yes,7.0
14,Inbound,2024-01-11,APAC,Enterprise,Converted,,Yes,10.0
15,Inbound,2024-05-22,NA,SMB,Working,,No,
16,Inbound,2024-07-10,NA,Strategic,Working,,No,
17,Inbound,2024-03-09,EMEA,Commercial,New,,No,
18,Outbound,2024-01-23,NA,SMB,New,,No,
19,Outbound,2024-06-29,EMEA,Enterprise,Converted,,Yes,53.0
20,Inbound,2024-10-19,EMEA,Commercial,Working,,No,
21,Partner,2024-01-09,APAC,SMB,Converted,,Yes,59.0
22,Inbound,2024-09-27,EMEA,Enterprise,New,,No,
23,Inbound,2024-04-02,NA,Enterprise,Working,,No,
24,Outbound,2024-01-17,APAC,Commercial,Working,,No,
25,Outbound,2024-06-02,EMEA,SMB,Working,,No,
26,Marketing Campaign,2024-11-23,APAC,Commercial,Converted,Webinars,Yes,17.0
27,Inbound,2024-05-28,APAC,Strategic,Rejected,,No,
28,Outbound,2024-09-23,NA,Enterprise,New,,No,
29,Outbound,2024-11-23,EMEA,Commercial,New,,No,
30,Inbound,2024-04-15,EMEA,SMB,New,,No,
31,Partner,2024-02-04,NA,Enterprise,Working,,No,
32,Inbound,2024-04-28,EMEA,SMB,New,,No,
33,Inbound,2024-01-14,EMEA,Enterprise,Converted,,Yes,59.0
34,Marketing Campaign,2024-01-14,APAC,Enterprise,Working,Paid Search (PPC/Google Ads),No,
35,Marketing Campaign,2024-09-22,EMEA,Enterprise,Working,Webinars,No,
36,Marketing Campaign,2024-05-19,NA,Strategic,Converted,In-Person Events,Yes,58.0
37,Inbound,2024-10-20,EMEA,Commercial,Working,,No,
38,Inbound,2024-12-29,NA,SMB,Working,,No,
39,Partner,2024-04-28,APAC,Commercial,New,,No,
40,Outbound,2024-08-25,EMEA,Commercial,Working,,No,
41,Inbound,2024-02-03,EMEA,Commercial,Working,,No,
42,Outbound,2024-06-17,NA,Strategic,Working,,No,
43,Inbound,2024-01-10,NA,SMB,Rejected,,No,
44,Marketing Campaign,2024-05-01,NA,SMB,Rejected,Webinars,No,
45,Inbound,2024-05-24,EMEA,Enterprise,Converted,,Yes,35.0
46,Partner,2024-08-10,EMEA,Commercial,New,,No,
47,Inbound,2024-09-13,APAC,Commercial,Converted,,Yes,21.0
48,Outbound,2024-09-24,APAC,Strategic,New,,No,
49,Outbound,2024-12-24,NA,Enterprise,New,,No,
50,Inbound,2024-01-04,APAC,Enterprise,New,,No,
51,Marketing Campaign,2024-12-19,NA,Commercial,New,Whitepaper Downloads,No,
52,Marketing Campaign,2024-04-15,NA,Enterprise,New,In-Person Events,No,
53,Marketing Campaign,2024-03-25,EMEA,Enterprise,Working,Trade Shows/Exhibitions,No,
54,Marketing Campaign,2024-08-01,NA,SMB,Rejected,Trade Shows/Exhibitions,No,
55,Outbound,2024-04-30,NA,Commercial,New,,No,
56,Marketing Campaign,2024-05-11,EMEA,SMB,Rejected,Paid Search (PPC/Google Ads),No,
57,Inbound,2024-12-03,NA,SMB,New,,No,
58,Inbound,2024-07-15,NA,Enterprise,New,,No,
